SalePrice,LotArea,Bedroom,FullBath,GarageCars,YearBuilt,OverallQual,Neighborhood
189023,1501,3,2,2.0,1993.0,1,SawyerW
203305,1709,4,2,0.0,2024.0,2,SawyerW
192252,1308,2,3,2.0,2024.0,2,College
181246,877,4,3,1.0,2019.0,6,OldTown
228292,1182,5,2,0.0,,5,SawyerW
145735,806,6,2,0.0,1973.0,3,SawyerW
245489,1542,5,2,2.0,2024.0,4,SawyerW
255876,2438,3,1,0.0,1961.0,3,College
170934,1155,3,1,1.0,2019.0,1,Crawfor
185011,1066,6,1,1.0,2016.0,3,College
244344,1843,5,2,,1964.0,5,Crawfor
284564,1750,6,2,1.0,,6,OldTown
233296,1574,3,3,0.0,2024.0,5,SawyerW
155176,849,3,3,1.0,1929.0,2,Crawfor
236125,1480,5,2,1.0,2010.0,5,OldTown
250900,1987,3,2,3.0,1977.0,2,NAmes
129853,559,5,1,0.0,1978.0,1,College
179386,1180,2,1,1.0,1942.0,3,OldTown
96246,350,2,2,0.0,1998.0,3,College
125029,597,6,3,0.0,1954.0,1,SawyerW
143105,350,3,2,1.0,2006.0,4,College
256502,1335,3,2,3.0,1950.0,5,Crawfor
176378,613,3,2,1.0,2007.0,5,OldTown
201747,1690,2,1,0.0,1995.0,3,College
245861,1610,5,1,3.0,1927.0,3,College
218117,1369,6,2,,1974.0,4,College
121626,350,2,1,1.0,1981.0,3,College
222145,1123,4,2,,1917.0,6,OldTown
195128,1466,3,3,3.0,1973.0,3,OldTown
224324,1579,4,1,1.0,2008.0,3,College
157074,429,4,2,1.0,1962.0,4,SawyerW
186335,1166,5,2,1.0,2019.0,3,College
168659,815,2,2,,1950.0,6,SawyerW
178719,934,2,2,,1948.0,4,College
270091,2243,6,1,3.0,2001.0,1,College
169461,935,2,3,1.0,2003.0,4,OldTown
194420,1477,4,3,1.0,1979.0,3,OldTown
251368,2119,4,1,,1984.0,3,Crawfor
135828,1091,3,2,0.0,2013.0,2,College
147433,1422,2,3,0.0,1967.0,2,College
211193,1577,3,1,1.0,2024.0,4,OldTown
200890,1545,4,2,1.0,1997.0,3,NAmes
146447,642,2,2,,1996.0,4,SawyerW
228039,1553,5,1,,1992.0,5,SawyerW
286660,2451,6,3,,1975.0,3,NAmes
122641,417,4,2,1.0,2021.0,2,OldTown
262971,2102,5,1,1.0,1966.0,5,SawyerW
242920,1584,4,2,1.0,1989.0,6,OldTown
212644,1051,4,2,1.0,2004.0,5,SawyerW
290258,2900,2,1,1.0,2024.0,2,College
280609,2034,4,2,1.0,2019.0,5,SawyerW
156756,660,3,1,,1973.0,3,OldTown
134289,1552,3,2,1.0,2013.0,1,College
207081,1904,6,3,1.0,1982.0,1,SawyerW
217065,1368,5,2,0.0,1952.0,5,Crawfor
237036,1978,2,1,2.0,1953.0,3,College
231091,1453,6,2,2.0,1937.0,6,OldTown
260075,1967,4,2,1.0,,3,OldTown
244889,2507,4,1,0.0,2017.0,1,SawyerW
184327,1027,2,2,1.0,1953.0,5,NAmes
242586,1642,6,1,2.0,1975.0,4,OldTown
241615,1176,6,3,3.0,1950.0,6,College
254789,1589,5,2,3.0,1984.0,6,OldTown
139969,669,3,2,0.0,1948.0,2,Crawfor
163234,1094,4,2,1.0,1959.0,2,OldTown
204298,1363,3,2,2.0,1963.0,5,OldTown
238270,2129,3,1,,1969.0,3,NAmes
262294,2302,4,3,1.0,1972.0,3,Crawfor
120491,574,5,1,1.0,1977.0,2,NAmes
195173,944,5,2,1.0,,3,OldTown
211508,1953,3,2,0.0,,3,College
162027,350,6,2,2.0,1999.0,2,College
179264,1176,4,1,0.0,1932.0,2,NAmes
226376,1432,5,1,1.0,1987.0,6,NAmes
255076,2380,6,3,1.0,1954.0,1,OldTown
265532,1983,3,2,3.0,1987.0,3,College
198685,1271,6,2,1.0,1991.0,3,NAmes
201780,1242,2,2,,1923.0,5,College
194743,1325,3,2,1.0,1993.0,3,SawyerW
277625,2566,4,2,0.0,2022.0,1,Crawfor
182632,1200,5,2,1.0,2005.0,4,Crawfor
234967,1287,6,2,1.0,1994.0,5,NAmes
244661,1747,3,2,3.0,1919.0,4,SawyerW
183714,1415,2,1,2.0,1978.0,2,College
226159,1362,4,1,,,6,OldTown
151008,720,5,2,0.0,2014.0,3,OldTown
236037,1492,2,1,1.0,1973.0,5,SawyerW
220769,1189,3,3,1.0,,5,NAmes
230605,2316,3,2,1.0,1930.0,2,NAmes
258108,1957,4,1,3.0,2005.0,2,Crawfor
160460,1483,4,1,1.0,1966.0,1,College
251375,1968,4,1,0.0,1975.0,4,College
195820,1262,4,2,1.0,2015.0,3,OldTown
288882,2236,4,1,0.0,1985.0,5,College
231133,1496,3,3,0.0,1992.0,5,Crawfor
250427,1908,6,3,,2024.0,2,NAmes
163946,596,4,1,0.0,1966.0,5,College
235418,1743,4,1,1.0,1968.0,3,OldTown
117473,350,4,1,2.0,1997.0,1,NAmes
146545,350,3,1,1.0,2024.0,2,NAmes
214274,1287,4,2,2.0,1940.0,5,NAmes
174034,870,5,1,1.0,1976.0,2,College
213504,1615,4,1,0.0,1953.0,3,College
322859,3071,4,3,2.0,1942.0,3,SawyerW
180238,918,4,2,0.0,2000.0,5,Crawfor
182902,1063,3,2,,1960.0,3,OldTown
202325,1644,5,1,0.0,1991.0,4,College
230491,1845,3,2,,1986.0,5,OldTown
205744,1377,2,1,,1987.0,3,OldTown
193901,1356,4,2,0.0,1984.0,5,OldTown
294113,1992,6,2,1.0,1951.0,5,NAmes
242141,1864,3,2,,1980.0,5,SawyerW
193818,776,3,1,1.0,1989.0,6,College
214135,1445,3,2,3.0,1992.0,3,College
252023,1525,6,3,1.0,1974.0,5,College
152450,762,3,2,,,3,NAmes
214929,1682,4,2,1.0,1999.0,3,College
203694,899,4,2,3.0,1986.0,5,OldTown
260092,2180,4,3,1.0,2001.0,2,SawyerW
250896,1635,3,1,1.0,1988.0,5,Crawfor
262300,1563,5,1,0.0,2002.0,6,OldTown
211719,1086,5,1,1.0,1924.0,5,Crawfor
208727,1417,4,1,3.0,1944.0,3,OldTown
124688,350,5,2,1.0,1971.0,4,College
174301,708,2,3,3.0,1986.0,3,Crawfor
212255,1754,3,1,0.0,1918.0,2,Crawfor
150340,350,6,1,0.0,,5,OldTown
273766,2093,4,1,0.0,1987.0,5,SawyerW
169725,350,3,1,3.0,1975.0,4,SawyerW
255991,2030,6,3,1.0,1975.0,3,College
233525,908,6,3,1.0,1942.0,6,NAmes
238704,2045,3,2,0.0,1985.0,3,SawyerW
190581,1592,3,2,0.0,1921.0,4,OldTown
164132,424,4,1,1.0,2010.0,6,College
237833,2374,4,1,2.0,1963.0,1,SawyerW
264187,2509,4,2,0.0,2014.0,2,SawyerW
219205,1454,4,1,2.0,1929.0,5,College
225604,1308,4,2,1.0,1994.0,6,SawyerW
220941,1388,5,2,2.0,1986.0,5,OldTown
156202,817,6,1,1.0,,2,OldTown
287682,2269,5,2,,1946.0,5,OldTown
166569,1120,2,2,1.0,2017.0,1,SawyerW
218779,1464,2,1,,1994.0,4,College
195025,945,6,2,1.0,2024.0,4,NAmes
215284,1062,5,3,1.0,1980.0,5,Crawfor
172648,606,4,1,1.0,1987.0,5,OldTown
239540,2380,3,2,,1994.0,1,College
232344,1392,5,3,1.0,2005.0,3,College
186811,2176,2,3,1.0,,1,College
224627,1509,4,2,0.0,2006.0,5,Crawfor
153751,1014,3,2,1.0,1968.0,1,SawyerW
230739,1271,6,2,3.0,1939.0,3,College
199251,1108,4,1,3.0,2024.0,5,SawyerW
237721,1506,3,3,1.0,1987.0,5,College
253010,1237,5,1,3.0,1997.0,6,SawyerW
172829,1290,4,1,3.0,1969.0,1,OldTown
109799,535,3,1,1.0,2013.0,3,SawyerW
153048,935,3,1,0.0,1988.0,3,College
265404,2658,3,3,1.0,2015.0,3,SawyerW
161380,1030,4,3,0.0,1963.0,1,SawyerW
173932,762,3,2,2.0,1981.0,5,SawyerW
268714,1736,4,2,0.0,1989.0,5,SawyerW
265310,2485,4,1,0.0,1973.0,3,OldTown
134918,482,3,1,3.0,1991.0,3,NAmes
