survived,pclass,sex,age,sibsp,parch,fare,embark_town
0,3,female,30.6,0,1,13.93,Southampton
0,2,male,23.6,2,1,55.21,Southampton
0,3,male,49.7,0,0,27.99,Southampton
1,3,female,36.1,1,0,21.27,Southampton
0,1,female,10.6,3,2,184.01,Southampton
1,3,male,38.4,1,1,17.05,Southampton
0,3,male,18.2,0,0,11.13,Southampton
0,3,male,20.9,1,0,27.12,Southampton
1,1,male,33.4,0,1,253.43,Southampton
0,3,male,22.1,0,0,6.36,Southampton
1,2,male,41.5,1,1,13.45,Southampton
0,3,male,18.2,1,0,16.33,Southampton
0,3,male,20.3,0,1,25.96,Southampton
0,3,female,19.8,0,0,6.87,Southampton
1,2,female,21.1,1,0,24.27,Queenstown
1,1,male,44.4,1,2,210.68,Cherbourg
0,3,male,37.8,0,1,5.7,Southampton
0,1,male,52.9,1,1,103.45,Southampton
0,3,male,60.7,0,2,10.53,Southampton
0,3,female,14.6,0,0,19.84,Southampton
1,3,female,30.0,0,0,5.65,Southampton
1,2,female,12.5,2,0,21.07,Southampton
1,3,female,18.1,0,0,23.18,Southampton
0,3,female,20.2,0,0,10.25,Queenstown
0,3,female,14.2,0,2,21.41,Southampton
0,1,male,14.3,1,0,145.36,Cherbourg
0,3,male,27.0,0,0,6.48,Southampton
0,1,male,12.0,0,0,228.36,Southampton
0,1,male,40.8,3,0,209.52,Southampton
0,3,male,16.2,0,0,14.74,Southampton
1,3,female,68.3,0,0,7.17,Southampton
1,3,male,22.7,0,0,25.97,Cherbourg
1,2,male,30.0,1,0,32.82,Cherbourg
1,2,male,10.9,0,2,31.76,Southampton
0,3,male,52.9,0,0,29.21,Southampton
1,1,male,44.7,0,0,130.56,Southampton
1,1,female,33.2,1,0,81.3,Queenstown
0,3,male,10.1,1,0,22.99,Southampton
1,1,female,31.9,0,0,110.71,Southampton
0,3,male,13.3,0,2,27.7,Southampton
1,2,male,49.5,1,0,30.44,Cherbourg
1,3,male,40.3,0,0,8.29,Southampton
1,3,female,30.3,0,0,24.9,Queenstown
0,2,female,0.5,0,1,47.01,Southampton
0,3,male,15.2,0,0,21.11,Cherbourg
1,3,female,38.6,0,0,11.97,Southampton
0,2,male,46.0,0,1,22.87,Southampton
1,2,female,44.5,0,0,51.27,Queenstown
0,3,male,6.7,0,0,17.49,Southampton
1,1,male,33.2,1,0,58.65,Southampton
1,1,female,43.2,0,0,131.04,Southampton
0,1,male,5.8,0,2,210.14,Southampton
